epoch,accuracy,val_accuracy,loss,val_loss
1.0,0.5035,0.4889,1.344,1.2378
2.0,0.507,0.4889,1.2911,1.189
3.0,0.5102,0.5032,1.2518,1.1411
4.0,0.5129,0.5095,1.2094,1.0953
5.0,0.5171,0.5166,1.1667,1.0512
6.0,0.5223,0.517,1.1262,1.0088
7.0,0.5277,0.5281,1.0876,0.9684
8.0,0.5313,0.5333,1.0537,0.9293
9.0,0.5374,0.5426,1.0149,0.8924
10.0,0.5446,0.5444,0.9812,0.8566
11.0,0.5499,0.5604,0.9545,0.8227
12.0,0.5566,0.5732,0.92,0.7908
13.0,0.5622,0.5931,0.8941,0.7609
14.0,0.5727,0.606,0.8627,0.7324
15.0,0.5775,0.6183,0.8416,0.706
16.0,0.5841,0.6279,0.8175,0.6808
17.0,0.5939,0.6526,0.7919,0.6574
18.0,0.6027,0.6598,0.77,0.6354
19.0,0.6131,0.6675,0.7483,0.6147
20.0,0.6217,0.702,0.7288,0.5951
21.0,0.628,0.7346,0.7129,0.577
22.0,0.6373,0.7792,0.692,0.5593
23.0,0.6495,0.8427,0.6734,0.5425
24.0,0.6583,0.8521,0.6565,0.5266
25.0,0.667,0.8673,0.6406,0.5113
26.0,0.6797,0.8724,0.6227,0.4964
27.0,0.6893,0.875,0.6074,0.4821
28.0,0.6978,0.8771,0.594,0.4681
29.0,0.71,0.8892,0.5773,0.4544
30.0,0.7188,0.9095,0.5635,0.4415
31.0,0.73,0.9339,0.5481,0.4288
32.0,0.7382,0.9396,0.5354,0.4162
33.0,0.7502,0.9576,0.5214,0.4039
34.0,0.7605,0.96,0.5046,0.3919
35.0,0.7669,0.9604,0.4959,0.3803
36.0,0.7791,0.9643,0.4816,0.3691
37.0,0.7858,0.9676,0.4696,0.358
38.0,0.7973,0.974,0.4552,0.3473
39.0,0.8034,0.9801,0.4447,0.3369
40.0,0.8141,0.9826,0.4307,0.3268
41.0,0.8223,0.9842,0.4203,0.3171
42.0,0.8311,0.9853,0.4083,0.3076
43.0,0.8395,0.9856,0.3965,0.2985
44.0,0.8465,0.9856,0.3884,0.2896
45.0,0.8546,0.9856,0.3757,0.2811
46.0,0.8609,0.986,0.3661,0.2729
47.0,0.8665,0.9863,0.3574,0.2648
48.0,0.8755,0.9868,0.3465,0.2569
49.0,0.8793,0.9868,0.3382,0.2494
50.0,0.8881,0.9869,0.3277,0.242
